fornecedor,categoria_despesa,valor_mensal
Padaria Pão Dourado,Despesas Administrativas,1200.00
 Distribuidora Boa Carne,CMV,8500.00
Frigorífico S@o Jorge ,CMV,6200.00
Contabilidade Cont@bil,Despesas Administrativas,950.00
"Mercado Pre-ço Justo,",CMV,3400.00
"Assessoria Jurídica Sil-va,",Despesas Administrativas,-
Distribuidora de Bebidas Total,CMV,-
  Dedetizadora Limpa Tudo,Despesas Administrativas,480.00
Banco Cred@amigo,Despesas Financeiras,310.00
"Fornecedora de Descartáveis Emb-alagens,",Despesas Administrativas,670.00
Loja de Utensílios Cozinha Boa ,CMV,-
Contador Pessoa Física,Despesas Administrativas,1500.00
Segurança Patrimonial Vigi@,Despesas Administrativas,890.00
"Manutenção Elétrica Rapi-da,",Despesas Administrativas,540.00
